round,SR,P,Recall,F1
1011,0.64560205,0.75445474,0.75445474,0.755146912
1012,0.635654262,0.754461538,0.754461538,0.755152514
1013,0.643527205,0.754462132,0.754462132,0.755158608
1014,0.634854772,0.754469607,0.754469607,0.755159854
1015,0.642041127,0.754477612,0.754477612,0.755164712
1016,0.645244216,0.754477938,0.754477938,0.755164835
1017,0.634581105,0.754480287,0.754480287,0.755165044
1018,0.643377001,0.754482759,0.754482759,0.75516829
1019,0.63599182,0.754483858,0.754483858,0.755171721
1020,0.635869565,0.754484305,0.754484305,0.755174875
1021,0.63099631,0.754488518,0.754488518,0.755175269
1022,0.63559322,0.754491018,0.754491018,0.755176614
1023,0.645189003,0.754497647,0.754497647,0.755179704
1024,0.629695886,0.754500818,0.754500818,0.755180989
1025,0.641831239,0.754504505,0.754504505,0.755181347
1026,0.641860465,0.754506438,0.754506438,0.755182073
1027,0.640063847,0.754507628,0.754507628,0.755183061
1028,0.643274854,0.754508197,0.754508197,0.755187886
1029,0.644463668,0.754510921,0.754510921,0.755193711
1030,0.642407907,0.754512635,0.754512635,0.755196702
1031,0.638410596,0.754515599,0.754515599,0.755203997
1032,0.63507109,0.754523728,0.754523728,0.755213226
1033,0.630824373,0.754529767,0.754529767,0.755214833
1034,0.6347981,0.754530478,0.754530478,0.755215986
1035,0.643300799,0.75453149,0.75453149,0.755219726
1036,0.625984252,0.754532775,0.754532775,0.755221387
1037,0.639220616,0.754535357,0.754535357,0.755227552
1038,0.640901771,0.754535459,0.754535459,0.755227552
1039,0.642313546,0.754537066,0.754537066,0.755228277
1040,0.644965278,0.754542216,0.754542216,0.75523399
1041,0.643497758,0.754542655,0.754542655,0.755234389
1042,0.636089318,0.754545455,0.754545455,0.755236385
1043,0.645904437,0.754548575,0.754548575,0.755240444
1044,0.639571519,0.754549131,0.754549131,0.755242826
1045,0.643636364,0.754550469,0.754550469,0.755244755
1046,0.635813672,0.754550793,0.754550793,0.755244755
1047,0.645547945,0.754552652,0.754552652,0.755248619
