round,SR,P,Recall,F1
1,1.0,1.0,1.0,1.0
2,0.5,0.5,0.5,0.5
3,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285715
4,0.25,0.3333333333333333,0.5,0.4
5,0.4,0.5,0.6666666666666666,0.5714285714285715
6,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001
7,0.5714285714285714,0.6,0.75,0.6666666666666665
8,0.5,0.6363636363636364,0.7,0.6666666666666666
9,0.4444444444444444,0.5833333333333334,0.5384615384615384,0.5599999999999999
10,0.4,0.5384615384615384,0.5,0.5185185185185186
11,0.45454545454545453,0.5714285714285714,0.5333333333333333,0.5517241379310344
12,0.4166666666666667,0.5333333333333333,0.5,0.5161290322580646
13,0.46153846153846156,0.5625,0.5294117647058824,0.5454545454545455
14,0.5,0.5882352941176471,0.5555555555555556,0.5714285714285715
15,0.5333333333333333,0.6111111111111112,0.5789473684210527,0.5945945945945946
16,0.5625,0.631578947368421,0.6,0.6153846153846154
17,0.5882352941176471,0.65,0.6190476190476191,0.6341463414634146
18,0.5555555555555556,0.6190476190476191,0.5909090909090909,0.6046511627906977
19,0.5789473684210527,0.6363636363636364,0.6086956521739131,0.6222222222222223
20,0.6,0.6521739130434783,0.625,0.6382978723404256
21,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285715
22,0.5454545454545454,0.64,0.48484848484848486,0.5517241379310344
23,0.5217391304347826,0.6538461538461539,0.3953488372093023,0.49275362318840576
24,0.5416666666666666,0.6666666666666666,0.4090909090909091,0.5070422535211268
25,0.52,0.6428571428571429,0.4,0.4931506849315069
26,0.5384615384615384,0.6551724137931034,0.41304347826086957,0.5066666666666666
27,0.5185185185185185,0.6333333333333333,0.40425531914893614,0.49350649350649345
28,0.5,0.6451612903225806,0.38461538461538464,0.4819277108433735
29,0.4827586206896552,0.65625,0.375,0.4772727272727273
30,0.5,0.6666666666666666,0.38596491228070173,0.4888888888888889
31,0.4838709677419355,0.6764705882352942,0.35384615384615387,0.46464646464646464
32,0.5,0.6857142857142857,0.36363636363636365,0.4752475247524753
33,0.5151515151515151,0.6944444444444444,0.373134328358209,0.48543689320388356
34,0.5294117647058824,0.7027027027027027,0.38235294117647056,0.4952380952380953
35,0.5428571428571428,0.7105263157894737,0.391304347826087,0.5046728971962617
36,0.5277777777777778,0.6923076923076923,0.38571428571428573,0.4954128440366973
37,0.5405405405405406,0.7,0.39436619718309857,0.5045045045045045
38,0.5263157894736842,0.6829268292682927,0.3888888888888889,0.495575221238938
39,0.5384615384615384,0.6904761904761905,0.3972602739726027,0.5043478260869564
40,0.55,0.6976744186046512,0.40540540540540543,0.5128205128205129
41,0.5365853658536586,0.7045454545454546,0.40789473684210525,0.5166666666666666
42,0.5476190476190477,0.7111111111111111,0.4155844155844156,0.5245901639344263
43,0.5581395348837209,0.717391304347826,0.4230769230769231,0.532258064516129
44,0.5681818181818182,0.723404255319149,0.43037974683544306,0.5396825396825398
45,0.5777777777777777,0.7291666666666666,0.4375,0.546875
46,0.5869565217391305,0.7346938775510204,0.4444444444444444,0.5538461538461538
47,0.5957446808510638,0.74,0.45121951219512196,0.5606060606060607
48,0.6041666666666666,0.7450980392156863,0.4578313253012048,0.5671641791044776
49,0.6122448979591837,0.75,0.4642857142857143,0.5735294117647058
50,0.6,0.7358490566037735,0.4588235294117647,0.5652173913043477
51,0.6078431372549019,0.7407407407407407,0.46511627906976744,0.5714285714285714
52,0.6153846153846154,0.7454545454545455,0.47126436781609193,0.5774647887323943
53,0.6226415094339622,0.75,0.4772727272727273,0.5833333333333334
54,0.6296296296296297,0.7543859649122807,0.48314606741573035,0.589041095890411
55,0.6181818181818182,0.7586206896551724,0.4631578947368421,0.5751633986928104
56,0.6071428571428571,0.7457627118644068,0.4583333333333333,0.567741935483871
57,0.5964912280701754,0.7333333333333333,0.4536082474226804,0.5605095541401274
58,0.603448275862069,0.7377049180327869,0.45918367346938777,0.5660377358490566
59,0.5932203389830508,0.7419354838709677,0.4339622641509434,0.5476190476190477
60,0.5833333333333334,0.746031746031746,0.43119266055045874,0.5465116279069767
61,0.5737704918032787,0.75,0.42105263157894735,0.5393258426966292
62,0.5806451612903226,0.7538461538461538,0.4260869565217391,0.5444444444444445
63,0.5714285714285714,0.7575757575757576,0.4098360655737705,0.5319148936170214
64,0.578125,0.7611940298507462,0.4146341463414634,0.5368421052631579
65,0.5846153846153846,0.7647058823529411,0.41935483870967744,0.5416666666666666
66,0.5757575757575758,0.7536231884057971,0.4126984126984127,0.5333333333333333
67,0.582089552238806,0.7571428571428571,0.41732283464566927,0.5380710659898478
68,0.5735294117647058,0.7605633802816901,0.4122137404580153,0.5346534653465347
69,0.5797101449275363,0.7638888888888888,0.4166666666666667,0.5392156862745098
70,0.5857142857142857,0.7671232876712328,0.42105263157894735,0.5436893203883495
71,0.5915492957746479,0.7702702702702703,0.4253731343283582,0.5480769230769231
72,0.5972222222222222,0.7733333333333333,0.42962962962962964,0.5523809523809524
73,0.589041095890411,0.7763157894736842,0.4306569343065693,0.5539906103286385
74,0.581081081081081,0.7792207792207793,0.40816326530612246,0.5357142857142857
75,0.5733333333333334,0.7692307692307693,0.4,0.5263157894736842
76,0.5657894736842105,0.7721518987341772,0.3961038961038961,0.5236051502145923
77,0.5714285714285714,0.775,0.4,0.5276595744680852
78,0.5769230769230769,0.7777777777777778,0.40384615384615385,0.5316455696202531
79,0.5822784810126582,0.7804878048780488,0.40764331210191085,0.5355648535564853
80,0.5875,0.7831325301204819,0.41139240506329117,0.5394190871369295
81,0.5802469135802469,0.7738095238095238,0.4088050314465409,0.5349794238683128
82,0.573170731707317,0.7647058823529411,0.40625,0.5306122448979592
83,0.5783132530120482,0.7674418604651163,0.40993788819875776,0.534412955465587
84,0.5714285714285714,0.7586206896551724,0.38823529411764707,0.5136186770428015
85,0.5647058823529412,0.75,0.38596491228070173,0.5096525096525097
86,0.5697674418604651,0.7528089887640449,0.38953488372093026,0.5134099616858238
87,0.5747126436781609,0.7555555555555555,0.3930635838150289,0.5171102661596959
88,0.5681818181818182,0.7582417582417582,0.3854748603351955,0.5111111111111111
89,0.5617977528089888,0.7608695652173914,0.3763440860215054,0.5035971223021583
90,0.5555555555555556,0.7526881720430108,0.37433155080213903,0.5
91,0.5494505494505495,0.7446808510638298,0.3723404255319149,0.49645390070921985
92,0.5434782608695652,0.7473684210526316,0.36597938144329895,0.4913494809688581
93,0.5376344086021505,0.7395833333333334,0.3641025641025641,0.4879725085910653
94,0.5425531914893617,0.7422680412371134,0.3673469387755102,0.49146757679180897
95,0.5368421052631579,0.7346938775510204,0.36548223350253806,0.4881355932203389
96,0.5416666666666666,0.7373737373737373,0.3686868686868687,0.4915824915824916
97,0.5360824742268041,0.73,0.36683417085427134,0.4882943143812709
98,0.5306122448979592,0.7227722772277227,0.365,0.4850498338870432
99,0.5353535353535354,0.7254901960784313,0.3681592039800995,0.4884488448844885
100,0.53,0.7281553398058253,0.35714285714285715,0.4792332268370607
